-5.00  -4.75	888  39	744   34	559   29	389   21
-4.75  -4.50	974  41	807   35	615   31	429   22
-4.50  -4.25	1046  44	861   37	656   32	459   24
-4.25  -4.00	1128  46	929   39	705   33	491   25
-4.00  -3.75	1209  50	1001   43	754   36	526   27
-3.75  -3.50	1304  54	1072   46	812   39	563   30
-3.50  -3.25	1388  57	1144   49	862   42	596   31
-3.25  -3.00	1449  59	1196   51	899   43	619   32
-3.00  -2.75	1504  58	1243   51	928   44	641   34
-2.75  -2.50	1578  61	1298   52	969   45	669   35
-2.50  -2.25	1627   62	1333   54	998   45	683   33
-2.25  -2.00	1674   62	1361   54	1022   44	700   34
-2.00  -1.75	1709   66	1393   58	1048   46	716   35
-1.75  -1.50	1736   64	1422   56	1062   47	725   36
-1.50  -1.25	1739   65	1418   56	1064   47	724   37
-1.25  -1.00	1699   68	1380   58	1026   46	701   34
-1.00  -0.75	1674   46	1362   37	1014   28	692   19
-0.75  -0.50	1658   40	1338   32	1006   24	682   16
-0.50  -0.25	1627   39	1330   32	991   24	673   16
-0.25   0.00	1615   39	1318   32	982   24	666   16
0.00   0.25	1615   39	1318   32	982   24	666   16
0.25   0.50	1627   39	1330   32	991   24	673   16
0.50   0.75	1658   40	1338   32	1006   24	682   16
0.75   1.00	1674   46	1362   37	1014   28	692   19
1.00   1.25	1699   68	1380   58	1026   46	701   34
1.25   1.50	1739   65	1418   56	1064   47	724   37
1.50   1.75	1736   64	1422   56	1062   47	725   36
1.75   2.00	1709   66	1393   58	1048   46	716   35
2.00   2.25	1674   62	1361   54	1022   44	700   34
2.25   2.50	1627   62	1333   54	998   45	683   33
2.50   2.75	1578   61	1298   52	969   45	669   35
2.75   3.00	1504   58	1243   51	928   44	641   34
3.00   3.25	1449   59	1196   51	899   43	619   32
3.25   3.50	1388   57	1144   49	862   42	596   31
3.50   3.75	1304   54	1072   46	812   39	563   30
3.75   4.00	1209   50	1001   43	754   36	526   27
4.00   4.25	1128   46	929   39	705   33	491   25
4.25   4.50	1046   44	861   37	656   32	459   24
4.50   4.75	974   41	807   35	615   31	429   22
4.75   5.00	888   39	744   34	559   29	389   21
5.00   5.25	770   42	651   39	491   37	343   26
5.25   5.50	667   39	577   35	451   29	313   22
